Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
TX,US,03/07/2020,5.0,0.0,0.0
NJ,US,03/07/2020,4.0,0.0,0.0
NY,US,03/07/2020,4.0,0.0,0.0
CO,US,03/07/2020,3.0,0.0,0.0
TX,US,03/07/2020,3.0,0.0,0.0
GA,US,03/07/2020,3.0,0.0,0.0
AZ,US,03/07/2020,3.0,0.0,1.0
RI,US,03/07/2020,3.0,0.0,0.0
OR,US,03/07/2020,3.0,0.0,0.0
CA,US,03/07/2020,2.0,0.0,0.0
FL,US,03/07/2020,2.0,0.0,0.0
CT,US,03/07/2020,2.0,0.0,0.0
GA,US,03/07/2020,2.0,0.0,0.0
FL,US,03/07/2020,2.0,0.0,0.0
AZ,US,03/07/2020,2.0,0.0,0.0
NY,US,03/07/2020,2.0,0.0,0.0
NY,US,03/07/2020,2.0,0.0,0.0
SC,US,03/07/2020,1.0,0.0,0.0
WA,US,03/07/2020,1.0,0.0,0.0
GA,US,03/07/2020,1.0,0.0,0.0
UT,US,03/07/2020,1.0,0.0,0.0
CO,US,03/07/2020,1.0,0.0,0.0
HI,US,03/07/2020,1.0,0.0,0.0
WA,US,03/07/2020,1.0,0.0,0.0
SC,US,03/07/2020,1.0,0.0,0.0
OR,US,03/07/2020,1.0,0.0,0.0
CA,US,03/07/2020,1.0,0.0,0.0
MA,US,03/07/2020,1.0,0.0,0.0
WA,US,03/07/2020,1.0,0.0,0.0
MA,US,03/07/2020,1.0,0.0,0.0
CA,US,03/07/2020,1.0,0.0,0.0
OK,US,03/07/2020,1.0,0.0,0.0
TX,US,03/07/2020,0.0,0.0,0.0
WA,US,03/08/2020,83.0,17.0,1.0
NY,US,03/08/2020,83.0,0.0,0.0
CA,US,03/08/2020,38.0,0.0,1.0
WA,US,03/08/2020,31.0,1.0,0.0
CA,US,03/08/2020,14.0,0.0,0.0
CA,US,03/08/2020,12.0,0.0,0.0
NY,US,03/08/2020,12.0,0.0,0.0
CA,US,03/08/2020,9.0,0.0,0.0
MA,US,03/08/2020,8.0,0.0,1.0
OR,US,03/08/2020,8.0,0.0,0.0
IL,US,03/08/2020,7.0,0.0,2.0
MA,US,03/08/2020,7.0,0.0,0.0
TX,US,03/08/2020,6.0,0.0,0.0
MA,US,03/08/2020,6.0,0.0,0.0
NY,US,03/08/2020,5.0,0.0,0.0
NJ,US,03/08/2020,4.0,0.0,0.0
NH,US,03/08/2020,4.0,0.0,0.0
MD,US,03/08/2020,4.0,0.0,0.0
PA,US,03/08/2020,4.0,0.0,0.0
WA,US,03/08/2020,4.0,0.0,0.0
NV,US,03/08/2020,2.0,0.0,0.0
VA,US,03/08/2020,2.0,0.0,0.0
FL,US,03/08/2020,2.0,1.0,0.0
NH,US,03/08/2020,2.0,0.0,0.0
DC,US,03/08/2020,2.0,0.0,0.0
NV,US,03/08/2020,2.0,0.0,0.0
MA,US,03/08/2020,1.0,0.0,0.0
TN,US,03/08/2020,1.0,0.0,0.0
OR,US,03/08/2020,1.0,0.0,0.0
CT,US,03/08/2020,1.0,0.0,0.0
CA,US,03/08/2020,1.0,0.0,0.0
MD,US,03/08/2020,1.0,0.0,0.0
IN,US,03/08/2020,1.0,0.0,0.0
NJ,US,03/08/2020,1.0,0.0,0.0
KS,US,03/08/2020,1.0,0.0,0.0
WA,US,03/08/2020,1.0,0.0,0.0
FL,US,03/08/2020,1.0,0.0,0.0
OR,US,03/08/2020,1.0,0.0,0.0
FL,US,03/08/2020,1.0,0.0,0.0
GA,US,03/08/2020,1.0,0.0,0.0
CA,US,03/08/2020,1.0,0.0,0.0
FL,US,03/08/2020,1.0,1.0,0.0
TN,US,03/08/2020,1.0,0.0,0.0
WA,US,03/08/2020,1.0,0.0,0.0
MO,US,03/08/2020,1.0,0.0,0.0
NY,US,03/08/2020,1.0,0.0,0.0
NY,US,03/08/2020,1.0,0.0,0.0
VT,US,03/08/2020,1.0,0.0,0.0
MA,US,03/08/2020,1.0,0.0,0.0
FL,US,03/08/2020,1.0,0.0,0.0
NY,US,03/09/2020,98.0,0.0,0.0
NY,US,03/09/2020,19.0,0.0,0.0
NY,US,03/09/2020,17.0,0.0,0.0
CA,US,03/09/2020,7.0,1.0,0.0
TX,US,03/09/2020,6.0,0.0,0.0
GA,US,03/09/2020,5.0,0.0,0.0
PA,US,03/09/2020,5.0,0.0,0.0
SC,US,03/09/2020,4.0,0.0,0.0
CA,US,03/09/2020,4.0,0.0,0.0
NY,US,03/09/2020,4.0,0.0,0.0
FL,US,03/09/2020,3.0,0.0,0.0
GA,US,03/09/2020,3.0,0.0,0.0
NE,US,03/09/2020,3.0,0.0,0.0
IA,US,03/09/2020,3.0,0.0,0.0
CA,US,03/09/2020,3.0,0.0,0.0
KY,US,03/09/2020,2.0,0.0,0.0
IN,US,03/09/2020,2.0,0.0,0.0
HI,US,03/09/2020,2.0,0.0,0.0
FL,US,03/09/2020,2.0,0.0,0.0
VT,US,03/09/2020,1.0,0.0,0.0
MN,US,03/09/2020,1.0,0.0,0.0
FL,US,03/09/2020,1.0,0.0,0.0
GA,US,03/09/2020,1.0,0.0,0.0
TX,US,03/09/2020,1.0,0.0,0.0
WA,US,03/09/2020,1.0,1.0,0.0
KY,US,03/09/2020,1.0,0.0,0.0
LA,US,03/09/2020,1.0,0.0,0.0
NH,US,03/09/2020,1.0,0.0,0.0
CA,US,03/09/2020,1.0,0.0,0.0
SC,US,03/09/2020,1.0,0.0,0.0
WA,US,03/10/2020,267.0,23.0,1.0
NY,US,03/10/2020,173.0,0.0,0.0
CA,US,03/10/2020,144.0,2.0,2.0
MA,US,03/10/2020,92.0,0.0,1.0
GA,US,03/10/2020,17.0,0.0,0.0
CO,US,03/10/2020,15.0,0.0,0.0
FL,US,03/10/2020,15.0,2.0,0.0
NJ,US,03/10/2020,15.0,1.0,0.0
OR,US,03/10/2020,15.0,0.0,0.0
TX,US,03/10/2020,13.0,0.0,0.0
IL,US,03/10/2020,12.0,0.0,2.0
PA,US,03/10/2020,12.0,0.0,0.0
IA,US,03/10/2020,8.0,0.0,0.0
MD,US,03/10/2020,8.0,0.0,0.0
NC,US,03/10/2020,7.0,0.0,0.0
SC,US,03/10/2020,7.0,0.0,0.0
TN,US,03/10/2020,7.0,0.0,0.0
VA,US,03/10/2020,7.0,0.0,0.0
AZ,US,03/10/2020,6.0,0.0,1.0
IN,US,03/10/2020,6.0,0.0,0.0
KY,US,03/10/2020,6.0,0.0,0.0
DC,US,03/10/2020,5.0,0.0,0.0
NV,US,03/10/2020,4.0,0.0,0.0
NH,US,03/10/2020,4.0,0.0,0.0
MN,US,03/10/2020,3.0,0.0,0.0
NE,US,03/10/2020,3.0,0.0,0.0
OH,US,03/10/2020,3.0,0.0,0.0
RI,US,03/10/2020,3.0,0.0,0.0
WI,US,03/10/2020,3.0,0.0,1.0
CT,US,03/10/2020,2.0,0.0,0.0
HI,US,03/10/2020,2.0,0.0,0.0
OK,US,03/10/2020,2.0,0.0,0.0
UT,US,03/10/2020,2.0,0.0,0.0
KS,US,03/10/2020,1.0,0.0,0.0
LA,US,03/10/2020,1.0,0.0,0.0
MO,US,03/10/2020,1.0,0.0,0.0
VT,US,03/10/2020,1.0,0.0,0.0
AK,US,03/10/2020,0.0,0.0,0.0
AR,US,03/10/2020,0.0,0.0,0.0
DE,US,03/10/2020,0.0,0.0,0.0
ID,US,03/10/2020,0.0,0.0,0.0
ME,US,03/10/2020,0.0,0.0,0.0
MI,US,03/10/2020,0.0,0.0,0.0
MS,US,03/10/2020,0.0,0.0,0.0
MT,US,03/10/2020,0.0,0.0,0.0
NM,US,03/10/2020,0.0,0.0,0.0
ND,US,03/10/2020,0.0,0.0,0.0
SD,US,03/10/2020,0.0,0.0,0.0
WV,US,03/10/2020,0.0,0.0,0.0
WY,US,03/10/2020,0.0,0.0,0.0
WA,US,03/11/2020,366.0,29.0,1.0
NY,US,03/11/2020,220.0,0.0,0.0
CA,US,03/11/2020,177.0,3.0,2.0
MA,US,03/11/2020,95.0,0.0,1.0
CO,US,03/11/2020,34.0,0.0,0.0
FL,US,03/11/2020,28.0,2.0,0.0
IL,US,03/11/2020,25.0,0.0,2.0
GA,US,03/11/2020,23.0,0.0,0.0
NJ,US,03/11/2020,23.0,1.0,0.0
TX,US,03/11/2020,21.0,0.0,0.0
OR,US,03/11/2020,19.0,0.0,0.0
PA,US,03/11/2020,16.0,0.0,0.0
IA,US,03/11/2020,13.0,0.0,0.0
IN,US,03/11/2020,11.0,0.0,0.0
DC,US,03/11/2020,10.0,0.0,0.0
SC,US,03/11/2020,10.0,0.0,0.0
AZ,US,03/11/2020,9.0,0.0,1.0
MD,US,03/11/2020,9.0,0.0,0.0
TN,US,03/11/2020,9.0,0.0,0.0
VA,US,03/11/2020,9.0,0.0,0.0
KY,US,03/11/2020,8.0,0.0,0.0
SD,US,03/11/2020,8.0,1.0,0.0
NV,US,03/11/2020,7.0,0.0,0.0
LA,US,03/11/2020,6.0,0.0,0.0
WI,US,03/11/2020,6.0,0.0,1.0
MN,US,03/11/2020,5.0,0.0,0.0
NE,US,03/11/2020,5.0,0.0,0.0
NH,US,03/11/2020,5.0,0.0,0.0
RI,US,03/11/2020,5.0,0.0,0.0
OH,US,03/11/2020,4.0,0.0,0.0
CT,US,03/11/2020,3.0,0.0,0.0
NM,US,03/11/2020,3.0,0.0,0.0
UT,US,03/11/2020,3.0,0.0,0.0
MI,US,03/11/2020,2.0,0.0,0.0
AR,US,03/11/2020,1.0,0.0,0.0
DE,US,03/11/2020,1.0,0.0,0.0
MT,US,03/11/2020,1.0,0.0,0.0
WA,US,03/12/2020,442.0,31.0,1.0
NY,US,03/12/2020,328.0,0.0,0.0
CA,US,03/12/2020,221.0,4.0,6.0
MA,US,03/12/2020,108.0,0.0,1.0
CO,US,03/12/2020,45.0,0.0,0.0
FL,US,03/12/2020,35.0,2.0,0.0
IL,US,03/12/2020,32.0,0.0,2.0
GA,US,03/12/2020,31.0,1.0,0.0
NJ,US,03/12/2020,29.0,1.0,0.0
TX,US,03/12/2020,27.0,0.0,0.0
OR,US,03/12/2020,24.0,0.0,0.0
PA,US,03/12/2020,22.0,0.0,0.0
LA,US,03/12/2020,19.0,0.0,0.0
TN,US,03/12/2020,18.0,0.0,0.0
VA,US,03/12/2020,17.0,0.0,0.0
IA,US,03/12/2020,16.0,0.0,0.0
NC,US,03/12/2020,15.0,0.0,0.0
NV,US,03/12/2020,14.0,0.0,0.0
IN,US,03/12/2020,13.0,0.0,0.0
MD,US,03/12/2020,12.0,0.0,0.0
SC,US,03/12/2020,12.0,0.0,0.0
KY,US,03/12/2020,10.0,0.0,0.0
NE,US,03/12/2020,10.0,0.0,0.0
MN,US,03/12/2020,9.0,0.0,0.0
WI,US,03/12/2020,8.0,0.0,1.0
AR,US,03/12/2020,6.0,0.0,0.0
NH,US,03/12/2020,6.0,0.0,0.0
CT,US,03/12/2020,5.0,0.0,0.0
NM,US,03/12/2020,5.0,0.0,0.0
OH,US,03/12/2020,5.0,0.0,0.0
UT,US,03/12/2020,5.0,0.0,0.0
VT,US,03/12/2020,2.0,0.0,0.0
MS,US,03/12/2020,1.0,0.0,0.0
ND,US,03/12/2020,1.0,0.0,0.0
WY,US,03/12/2020,1.0,0.0,0.0
WA,US,03/14/2020,572.0,37.0,1.0
NY,US,03/14/2020,525.0,2.0,0.0
CA,US,03/14/2020,340.0,5.0,6.0
MA,US,03/14/2020,138.0,0.0,1.0
CO,US,03/14/2020,101.0,1.0,0.0
LA,US,03/14/2020,77.0,1.0,0.0
FL,US,03/14/2020,76.0,3.0,0.0
NJ,US,03/14/2020,69.0,1.0,0.0
GA,US,03/14/2020,66.0,1.0,0.0
IL,US,03/14/2020,64.0,0.0,2.0
TX,US,03/14/2020,57.0,0.0,0.0
PA,US,03/14/2020,47.0,0.0,0.0
VA,US,03/14/2020,41.0,1.0,0.0
OR,US,03/14/2020,32.0,0.0,0.0
TN,US,03/14/2020,32.0,0.0,0.0
WI,US,03/14/2020,27.0,0.0,1.0
MD,US,03/14/2020,26.0,0.0,0.0
OH,US,03/14/2020,26.0,0.0,0.0
MI,US,03/14/2020,25.0,0.0,0.0
NC,US,03/14/2020,24.0,0.0,0.0
CT,US,03/14/2020,22.0,0.0,0.0
MN,US,03/14/2020,21.0,0.0,0.0
NV,US,03/14/2020,21.0,0.0,0.0
RI,US,03/14/2020,20.0,0.0,0.0
SC,US,03/14/2020,19.0,0.0,0.0
IN,US,03/14/2020,16.0,0.0,0.0
NE,US,03/14/2020,14.0,0.0,0.0
AZ,US,03/14/2020,12.0,0.0,1.0
AR,US,03/14/2020,12.0,0.0,0.0
NM,US,03/14/2020,10.0,0.0,0.0
UT,US,03/14/2020,10.0,0.0,0.0
SD,US,03/14/2020,9.0,1.0,0.0
KS,US,03/14/2020,8.0,1.0,0.0
NH,US,03/14/2020,7.0,0.0,0.0
AL,US,03/14/2020,6.0,0.0,0.0
DE,US,03/14/2020,6.0,0.0,0.0
MS,US,03/14/2020,6.0,0.0,0.0
MT,US,03/14/2020,5.0,0.0,0.0
VT,US,03/14/2020,5.0,0.0,0.0
HI,US,03/14/2020,4.0,0.0,0.0
MO,US,03/14/2020,4.0,0.0,0.0
OK,US,03/14/2020,4.0,0.0,0.0
ME,US,03/14/2020,3.0,0.0,0.0
ID,US,03/14/2020,2.0,0.0,0.0
WY,US,03/14/2020,2.0,0.0,0.0
NY,US,03/15/2020,732.0,3.0,0.0
WA,US,03/15/2020,643.0,40.0,1.0
CA,US,03/15/2020,426.0,6.0,6.0
FL,US,03/15/2020,115.0,4.0,0.0
GA,US,03/15/2020,99.0,1.0,0.0
LA,US,03/15/2020,91.0,2.0,0.0
NJ,US,03/15/2020,98.0,2.0,0.0
IL,US,03/15/2020,93.0,0.0,2.0
TX,US,03/15/2020,72.0,0.0,0.0
VA,US,03/15/2020,45.0,1.0,0.0
OR,US,03/15/2020,36.0,1.0,0.0
MN,US,03/15/2020,35.0,0.0,0.0
MI,US,03/15/2020,33.0,0.0,0.0
NC,US,03/15/2020,33.0,0.0,0.0
MD,US,03/15/2020,32.0,0.0,0.0
OH,US,03/15/2020,37.0,0.0,0.0
WI,US,03/15/2020,32.0,0.0,1.0
CT,US,03/15/2020,24.0,0.0,0.0
UT,US,03/15/2020,28.0,0.0,0.0
IN,US,03/15/2020,20.0,0.0,0.0
IA,US,03/15/2020,18.0,0.0,0.0
KY,US,03/15/2020,20.0,0.0,0.0
NE,US,03/15/2020,17.0,0.0,0.0
AR,US,03/15/2020,16.0,0.0,0.0
DC,US,03/15/2020,16.0,0.0,0.0
NM,US,03/15/2020,13.0,0.0,0.0
AL,US,03/15/2020,12.0,0.0,0.0
MT,US,03/15/2020,7.0,0.0,0.0
HI,US,03/15/2020,6.0,0.0,0.0
ME,US,03/15/2020,12.0,0.0,0.0
ID,US,03/15/2020,5.0,0.0,0.0
MO,US,03/15/2020,5.0,0.0,0.0
WY,US,03/15/2020,3.0,0.0,0.0
NY,US,03/16/2020,967.0,10.0,0.0
WA,US,03/16/2020,904.0,48.0,1.0
CA,US,03/16/2020,557.0,7.0,6.0
MA,US,03/16/2020,197.0,0.0,1.0
NJ,US,03/16/2020,178.0,2.0,1.0
CO,US,03/16/2020,160.0,1.0,0.0
FL,US,03/16/2020,155.0,5.0,0.0
LA,US,03/16/2020,136.0,3.0,0.0
GA,US,03/16/2020,121.0,1.0,0.0
IL,US,03/16/2020,105.0,0.0,2.0
TX,US,03/16/2020,85.0,0.0,0.0
PA,US,03/16/2020,77.0,0.0,0.0
MN,US,03/16/2020,54.0,0.0,0.0
MI,US,03/16/2020,53.0,0.0,0.0
TN,US,03/16/2020,52.0,0.0,0.0
OH,US,03/16/2020,50.0,0.0,0.0
VA,US,03/16/2020,49.0,1.0,0.0
WI,US,03/16/2020,47.0,0.0,1.0
NV,US,03/16/2020,45.0,1.0,0.0
MD,US,03/16/2020,41.0,0.0,3.0
OR,US,03/16/2020,39.0,1.0,0.0
UT,US,03/16/2020,39.0,0.0,0.0
NC,US,03/16/2020,38.0,0.0,0.0
SC,US,03/16/2020,33.0,1.0,0.0
CT,US,03/16/2020,30.0,0.0,0.0
AL,US,03/16/2020,29.0,0.0,0.0
IN,US,03/16/2020,25.0,1.0,0.0
IA,US,03/16/2020,23.0,0.0,0.0
AR,US,03/16/2020,22.0,0.0,0.0
DC,US,03/16/2020,22.0,0.0,0.0
KY,US,03/16/2020,21.0,1.0,1.0
RI,US,03/16/2020,21.0,0.0,0.0
AZ,US,03/16/2020,18.0,0.0,1.0
NE,US,03/16/2020,18.0,0.0,0.0
ME,US,03/16/2020,17.0,0.0,0.0
NH,US,03/16/2020,17.0,0.0,0.0
NM,US,03/16/2020,17.0,0.0,0.0
MS,US,03/16/2020,13.0,0.0,0.0
VT,US,03/16/2020,12.0,0.0,0.0
KS,US,03/16/2020,11.0,1.0,0.0
OK,US,03/16/2020,10.0,0.0,0.0
SD,US,03/16/2020,10.0,1.0,0.0
DE,US,03/16/2020,8.0,0.0,0.0
HI,US,03/16/2020,7.0,0.0,0.0
MO,US,03/16/2020,6.0,0.0,0.0
NY,US,03/17/2020,1706.0,13.0,0.0
WA,US,03/17/2020,1076.0,55.0,1.0
CA,US,03/17/2020,698.0,12.0,6.0
NJ,US,03/17/2020,267.0,3.0,1.0
MA,US,03/17/2020,218.0,0.0,1.0
FL,US,03/17/2020,216.0,6.0,0.0
LA,US,03/17/2020,196.0,4.0,0.0
IL,US,03/17/2020,161.0,1.0,2.0
CO,US,03/17/2020,160.0,2.0,0.0
GA,US,03/17/2020,146.0,1.0,0.0
PA,US,03/17/2020,112.0,0.0,0.0
TX,US,03/17/2020,110.0,1.0,0.0
TN,US,03/17/2020,74.0,0.0,0.0
WI,US,03/17/2020,72.0,0.0,1.0
CT,US,03/17/2020,68.0,0.0,0.0
OH,US,03/17/2020,67.0,0.0,0.0
VA,US,03/17/2020,67.0,2.0,0.0
OR,US,03/17/2020,66.0,1.0,0.0
MI,US,03/17/2020,65.0,0.0,0.0
NC,US,03/17/2020,64.0,0.0,0.0
MD,US,03/17/2020,60.0,0.0,3.0
MN,US,03/17/2020,60.0,0.0,0.0
NV,US,03/17/2020,56.0,1.0,0.0
UT,US,03/17/2020,51.0,0.0,0.0
SC,US,03/17/2020,47.0,1.0,0.0
AL,US,03/17/2020,39.0,0.0,0.0
ME,US,03/17/2020,32.0,0.0,0.0
IN,US,03/17/2020,30.0,2.0,0.0
KY,US,03/17/2020,26.0,1.0,1.0
NH,US,03/17/2020,26.0,0.0,0.0
NM,US,03/17/2020,23.0,0.0,0.0
RI,US,03/17/2020,23.0,0.0,0.0
MS,US,03/17/2020,21.0,0.0,0.0
NE,US,03/17/2020,21.0,0.0,0.0
AZ,US,03/17/2020,20.0,0.0,1.0
OK,US,03/17/2020,19.0,0.0,0.0
KS,US,03/17/2020,18.0,1.0,0.0
DE,US,03/17/2020,16.0,0.0,0.0
MO,US,03/17/2020,11.0,0.0,0.0
SD,US,03/17/2020,11.0,1.0,0.0
WY,US,03/17/2020,11.0,0.0,0.0
HI,US,03/17/2020,10.0,0.0,0.0
MT,US,03/17/2020,9.0,0.0,0.0
ID,US,03/17/2020,8.0,0.0,0.0
AK,US,03/17/2020,3.0,0.0,0.0
ND,US,03/17/2020,3.0,0.0,0.0
WV,US,03/17/2020,1.0,0.0,0.0
NY,US,03/18/2020,2495.0,16.0,0.0
WA,US,03/18/2020,1014.0,55.0,0.0
CA,US,03/18/2020,751.0,13.0,0.0
FL,US,03/18/2020,314.0,7.0,0.0
NJ,US,03/18/2020,267.0,3.0,0.0
LA,US,03/18/2020,257.0,4.0,0.0
MA,US,03/18/2020,218.0,0.0,0.0
GA,US,03/18/2020,199.0,3.0,0.0
CO,US,03/18/2020,184.0,2.0,0.0
TX,US,03/18/2020,173.0,3.0,0.0
IL,US,03/18/2020,162.0,1.0,0.0
PA,US,03/18/2020,152.0,0.0,0.0
WI,US,03/18/2020,92.0,0.0,0.0
OH,US,03/18/2020,86.0,0.0,0.0
MD,US,03/18/2020,85.0,0.0,0.0
MI,US,03/18/2020,83.0,0.0,0.0
TN,US,03/18/2020,79.0,0.0,0.0
